"display_name","full_name","overall","image_url","main_pos","alt_pos"
"Ronaldo","Ronaldo Luís Nazário de Lima","91","https://cdn3.futbin.com/content/fifa26/img/players/p100700872.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=eb30f7f662e4bf1845e6f364b2a5aa90","ST",""
"Maldini","Paolo Maldini","92","https://cdn3.futbin.com/content/fifa26/img/players/p134456167.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=cade12d0726e54fc7e4d15cfb94d78cc","CB","LB"
"Charlton","Bobby Charlton","92","https://cdn3.futbin.com/content/fifa26/img/players/230025.png?fm=png&ixlib=java-2.1.0&verzion=3&w=108&s=0d88b6f01e42f34df4a8e631b6b850b8","CAM",""
"Jairzinho","Jair Ventura Filho","91","https://cdn3.futbin.com/content/fifa26/img/players/268513.png?fm=png&ixlib=java-2.1.0&verzion=3&w=108&s=ff773f484a90ea9e40572f2b1638d70a","RW","RM, ST"
"Blanc","Laurent Blanc","88","https://cdn3.futbin.com/content/fifa26/img/players/p67347307.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=73c126d52ade8558e17e2de1f0d569f0","CB","CAM"
"Zambrotta","Gianluca Zambrotta","90","https://cdn3.futbin.com/content/fifa26/img/players/p67359754.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=24eada2f0ff8560f84d8a40259c6e352","RB","LB"
"Garrincha","Manuel Franc. dos Santos","92","https://cdn3.futbin.com/content/fifa26/img/players/p67356417.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=7e40836c323830a2b2b2728fc4aceb96","RW","RM"
"Cech","Petr Cech","89","https://cdn3.futbin.com/content/fifa26/img/players/p67157804.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=42c0c9f25ebae85cf9f54e89062b3fe7","GK",""
"Abily","Camille Abily","91","https://cdn3.futbin.com/content/fifa26/img/players/p67336188.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=9f468a964b67718edd7607a85f32482b","CM","CAM"
"Seger","Caroline Seger","90","https://cdn3.futbin.com/content/fifa26/img/players/p67335839.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=53bd973f5ccc2dce4e132282c2cd1771","CM","CDM"
"Prinz","Birgit Prinz","93","https://cdn3.futbin.com/content/fifa26/img/players/p67384140.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=203739f09c9c6d01145ad6066541302b","ST",""
"Carles Puyol","Carles Puyol Saforcada","91","https://cdn3.futbin.com/content/fifa26/img/players/p100901680.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=6bb1a5c1dad44ad81315aa65efc4073f","CB",""
"Fernando Torres","Fernando José Torres Sanz","88","https://cdn3.futbin.com/content/fifa26/img/players/p67158233.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=b5270ec021b4e26b52a07c907a49cc79","ST",""
"Gerrard","Steven Gerrard","89","https://cdn3.futbin.com/content/fifa26/img/players/p67122607.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=bdc2c47daa2265bfcd13aabc56621a5c","CM","CDM"
"Sissi","Sissi","88","https://cdn3.futbin.com/content/fifa26/img/players/p50409438.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=1fb91aadae6e1a0a243cb6249b778d5b","CAM",""
"Batistuta","Gabriel Batistuta Batistuta","93","https://cdn3.futbin.com/content/fifa26/img/players/p67330026.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=56b2a0baa639b55d4ab32df0907155be","ST",""
"Kluivert","Patrick Kluivert","91","https://cdn3.futbin.com/content/fifa26/img/players/p50570072.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=af5effedcf03e18162d72238b8b7ba4c","ST",""
"Pelé","Edson Arantes Nascimento","94","https://cdn3.futbin.com/content/fifa26/img/players/p84123147.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=da0ee864be6497fe92aa173ecfb3f543","CAM",""
"Morgan","Alex Morgan","91","https://cdn3.futbin.com/content/fifa26/img/players/p84112381.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=94197f3e958c4cb525530ed9f1be29f0","ST",""
"Schweinsteiger","Bastian Schweinsteiger","89","https://cdn3.futbin.com/content/fifa26/img/players/p50453592.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=e9bbdb5fadf9d24aa42a7b69bd76e5bc","CM","LM"
"Pirlo","Andrea Pirlo","91","https://cdn3.futbin.com/content/fifa26/img/players/p67116627.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=e1cdbd2246edf998977058cd47d6347d","CM","CDM"
"Zanetti","Javier Zanetti","91","https://cdn3.futbin.com/content/fifa26/img/players/p83887121.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=8fd464fccfbcbf18f25e61666368b8b2","RB","LB, CM"
"Petit","Emmanuel Petit","89","https://cdn3.futbin.com/content/fifa26/img/players/p83887700.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=82f533a55920685d6fcd743b9eeb91f9","CDM","LB, CM"
"Owen","Michael Owen","89","https://cdn3.futbin.com/content/fifa26/img/players/p83891499.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=a0849517d93e30d72c986978ecd1e526","ST",""
"Rivaldo","Rivaldo Vítor Borba Ferreira","91","https://cdn3.futbin.com/content/fifa26/img/players/p67113095.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=8d82d529b12957d2c58742b99f8b8264","ST","CAM"
"Luís Figo","Luís Filipe Madeira Caeiro Figo","90","https://cdn3.futbin.com/content/fifa26/img/players/p67114453.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=b325f3390bad1072ff8b21be8246fa45","RW","RM, CAM"
"Iniesta","Andrés Iniesta Luján","91","https://cdn3.futbin.com/content/fifa26/img/players/p100663337.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=1f1d48ddbf2c2d2db4a7037698e38810","LW","RW"
"Rivellino","Roberto Rivellino","94","https://cdn3.futbin.com/content/fifa26/img/players/p50522838.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=60c7c3ea1a50bfa6d75520eaa2e1c1a1","CAM","LM, LW"
"Xavi","Xavier Hernández Creus","92","https://cdn3.futbin.com/content/fifa26/img/players/p83896615.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=aec98a2f566835fa6fe04089a468bbb9","CM","CAM"
"Cafu","Cafu","91","https://cdn3.futbin.com/content/fifa26/img/players/p117445515.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=c2fe1ea75786f754cb21dd60c5eca264","RB",""
"Dalglish","Kenny Dalglish","89","https://cdn3.futbin.com/content/fifa26/img/players/p67356563.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=3b57f70b3ab44e6f951b2b8bce55cecf","ST",""
"Schmeichel","Peter Schmeichel","89","https://cdn3.futbin.com/content/fifa26/img/players/p50570076.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=e3a9de7532e7708e54298ffe3b9810bc","GK",""
"Ibrahimovic","Zlatan Ibrahimovic","91","https://cdn3.futbin.com/content/fifa26/img/players/p134258964.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=689187bb7d32643ec82e42257c3a507c","ST",""
"Gullit","Ruud Gullit","91","https://cdn3.futbin.com/content/fifa26/img/players/p84100180.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=3e8ca6ab5e71ce0c874b3929a5f3e4fc","CAM","CM, ST"
"Sánchez","Hugo Sánchez","89","https://cdn3.futbin.com/content/fifa26/img/players/p50497797.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=02c8ae58deaf519e5034141d87c2d30e","ST",""
"Okocha","Jay-Jay Okocha","95","https://cdn3.futbin.com/content/fifa26/img/players/p67109434.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=1a1313e74bc1c7ae1a490dd5bdfbe674","CAM","RM, RW, ST"
"Carlos Alberto","Carlos Alberto Torres","91","https://cdn3.futbin.com/content/fifa26/img/players/p84053215.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=e21a1b63474cc403fb182cc7605fa9b2","RB","CB"
"Müller","Gerd Müller","92","https://cdn3.futbin.com/content/fifa26/img/players/p84076128.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=a87cf2ba4d9e69f4d64d733d6dac5c90","ST",""
"Al Owairan","Saeed Al Owairan","95","https://cdn3.futbin.com/content/fifa26/img/players/p84152774.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=0ab5aeff866852ea05cb77d939ddc043","CAM","LM, RW, ST"
"Eto'o","Samuel Eto'o","90","https://cdn3.futbin.com/content/fifa26/img/players/p100672972.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=c9e8d85726af57a7f0de05753cde2c35","ST",""
"Kempes","Mario Alberto Kempes","93","https://cdn3.futbin.com/content/fifa26/img/players/p50413740.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=87394b189f64ea35bf617532a22245f2","ST","CAM, LW"
"Kroos","Toni Kroos","90","https://cdn3.futbin.com/content/fifa26/img/players/p84068601.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=27bc3613544163cee226e89f768b858b","CM","CDM, CAM"
"Zico","Arthur Antunes Coimbra","90","https://cdn3.futbin.com/content/fifa26/img/players/p100829987.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=b628af95958d1630dc605d75b19c0e8e","CAM","CM"
"Casillas","Iker Casillas Fernández","92","https://cdn3.futbin.com/content/fifa26/img/players/p83891559.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=07413f692c9443b79065ea7a302078c3","GK",""
"Vieira","Patrick Vieira","88","https://cdn3.futbin.com/content/fifa26/img/players/p100901723.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=83de0ceac8d474d38ff0c1bd4ba7e1f0","CM","CDM"
"Del Piero","Alessandro Del Piero","91","https://cdn3.futbin.com/content/fifa26/img/players/p67347246.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=745664c2082d2f7ef25e1a987513d013","CAM","ST"
"Matthäus","Lothar Matthäus","90","https://cdn3.futbin.com/content/fifa26/img/players/p100901731.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=a227f3e7200b884210ed5b54b88e0a02","CM","CB, CDM"
"Roberto Carlos","Roberto Carlos da Silva Rocha","90","https://cdn3.futbin.com/content/fifa26/img/players/p84124510.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=71ddff163257cdef1b246ac23b250244","LB",""
"Bale","Gareth Bale","91","https://cdn3.futbin.com/content/fifa26/img/players/p83957637.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=17a86e0df4c8b2ed4a511cec64824006","RW","ST, LW"
"Baresi","Franco Baresi","91","https://cdn3.futbin.com/content/fifa26/img/players/p84052986.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=e160470020666b62bc7cce599b12d53f","CB",""
"Buffon","Gianluigi Buffon","92","https://cdn3.futbin.com/content/fifa26/img/players/p67110043.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=aec264b74ae4783e0be62cbb4ce8deed","GK",""
"Baggio","Roberto Baggio","91","https://cdn3.futbin.com/content/fifa26/img/players/1114.png?fm=png&ixlib=java-2.1.0&verzion=3&w=108&s=bd86faf36feb0a856790ee0bf61f5630","CAM",""
"van Basten","Marco van Basten","92","https://cdn3.futbin.com/content/fifa26/img/players/p67301045.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=6a5c473f976de5de41c98b8d496caf63","ST",""
"Makélélé","Claude Makélélé","89","https://cdn3.futbin.com/content/fifa26/img/players/p67110532.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=e9d39894b60eec6cfe1f0e35e38a030c","CDM","RM, CM"
"Xabi Alonso","Xabier Alonso Olano","88","https://cdn3.futbin.com/content/fifa26/img/players/p67154061.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=f80f732d52b16e0be1479f795772f2d0","CDM","CM"
"Hagi","Gheorghe Hagi","89","https://cdn3.futbin.com/content/fifa26/img/players/p84052204.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=846338223d858b4217b4fc49f47f244a","CAM","CM, LM"
"Kahn","Oliver Kahn","90","https://cdn3.futbin.com/content/fifa26/img/players/p100663784.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=3c0297e5e41d6523df391edb9550863e","GK",""
"Beckham","David Beckham","90","https://cdn3.futbin.com/content/fifa26/img/players/p83886330.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=a717060d551823faa8be265049df773a","RM","CM, RW"
"Lahm","Philipp Lahm","90","https://cdn3.futbin.com/content/fifa26/img/players/p67230803.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=677679515c29375d189ca267d0b1a173","RB","LB, CDM"
"Drogba","Didier Drogba","90","https://cdn3.futbin.com/content/fifa26/img/players/p83917512.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=016faa68c8ab54265d4dba96fe148162","ST",""
"Yashin","Lev Yashin","92","https://cdn3.futbin.com/content/fifa26/img/players/p67347244.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=8f8a946f90585469b6221d22fe96030f","GK",""
"Bergkamp","Dennis Bergkamp","91","https://cdn3.futbin.com/content/fifa26/img/players/p67347252.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=73ec51c018ca246ec20e6f88cdf37f62","ST","CAM"
"Emilio Butragueño","Emilio Butragueño Santos","90","https://cdn3.futbin.com/content/fifa26/img/players/p67300559.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=5d052aa1608e4bec44ddea14143ac3ac","ST",""
"Angerer","Nadine Angerer","92","https://cdn3.futbin.com/content/fifa26/img/players/p50557941.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=d110acd457543f1d8664b8bff9f95f09","GK",""
"Fernando Hierro","Fernando Hierro Ruiz","88","https://cdn3.futbin.com/content/fifa26/img/players/p50493488.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=1cf300f0d9f07657aafea77425785d18","CB",""
"Totti","Francesco Totti","89","https://cdn3.futbin.com/content/fifa26/img/players/p83887318.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=00f06f673cce8205e59eae69d3462bb8","ST","CAM"
"Rooney","Wayne Rooney","92","https://cdn3.futbin.com/content/fifa26/img/players/p67162914.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=056ae64fed96cd2d3300775a8644be46","ST","CAM"
"Moore","Bobby Moore","90","https://cdn3.futbin.com/content/fifa26/img/players/p84076124.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=d464595788a51f3db9da5c11a28af8cf","CB",""
"Shevchenko","Andriy Shevchenko","90","https://cdn3.futbin.com/content/fifa26/img/players/p67121992.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=e329a29f86242e7329b4ec6c485d04ff","ST","RW"
"Desailly","Marcel Desailly","89","https://cdn3.futbin.com/content/fifa26/img/players/p83887196.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=2666f07d90de1a5c9178fd0e039e897e","CB","CDM"
"Pirès","Robert Pirès","89","https://cdn3.futbin.com/content/fifa26/img/players/p67110469.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=8ea6c6b7383026e5f96e491b42439655","LM","RM, CAM"
"Klose","Miroslav Klose","88","https://cdn3.futbin.com/content/fifa26/img/players/p67351374.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=19a2a969e0c68a39a6f3c6d6cd7b1117","ST",""
"Barnes","John Barnes","88","https://cdn3.futbin.com/content/fifa26/img/players/p84133595.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=27052692189411aa441f09b40d1f134d","LW","LM, CAM"
"Cantona","Eric Cantona","92","https://cdn3.futbin.com/content/fifa26/img/players/p50498846.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=f561532e515e2b07fa6fe1594048d3fc","ST",""
"Ferdinand","Rio Ferdinand","88","https://cdn3.futbin.com/content/fifa26/img/players/p50338937.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=141b55b6049c330f185c96def0961049","CB",""
"Schelin","Lotta Schelin","91","https://cdn3.futbin.com/content/fifa26/img/players/p50558017.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=99b3bf4105edcb64486d23acade908a0","ST","LM, LW"
"Miyama","Aya Miyama","90","https://cdn3.futbin.com/content/fifa26/img/players/p84113082.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=bbba989707a69349baa6468f56a8b7a7","LM","CM, LW"
"Foudy","Julie Foudy","90","https://cdn3.futbin.com/content/fifa26/img/players/p83957688.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=0d967876cb35f2b7fa73d20cecfddea7","CM","CDM"
"Kaká","Ricardo Izecson dos Santos Leite","90","https://cdn3.futbin.com/content/fifa26/img/players/138449.png?fm=png&ixlib=java-2.1.0&verzion=3&w=108&s=4542afc399562204e677cdb16951d1ce","CAM",""
"Nesta","Alessandro Nesta","89","https://cdn3.futbin.com/content/fifa26/img/players/p50332736.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=41cc507dec2f85fd82ef6baf862853fe","CB",""
"Shearer","Alan Shearer","90","https://cdn3.futbin.com/content/fifa26/img/players/p67108915.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=ceb650d389d92c143db89f743b2cbbc5","ST",""
"Rush","Ian Rush","89","https://cdn3.futbin.com/content/fifa26/img/players/p50579351.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=343adb2e2e056056421ae11ae6377e26","ST",""
"Cole","Ashley Cole","87","https://cdn3.futbin.com/content/fifa26/img/players/p67142943.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=c34388bda3e11782d9ce72046a50305c","LB",""
"Stoichkov","Hristo Stoichkov","91","https://cdn3.futbin.com/content/fifa26/img/players/p67113697.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=5d586f88a2023210c46e4d75c9280884","ST","RW, LW"
"Šuker","Davor Šuker","88","https://cdn3.futbin.com/content/fifa26/img/players/p84100729.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=99c5b168d8fdf288b10c4cb86cd64609","ST",""
"Koeman","Ronald Koeman","89","https://cdn3.futbin.com/content/fifa26/img/players/p100830976.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=8906a16f2f4e119ca7278b5c82539086","CB",""
"Chiellini","Giorgio Chiellini","89","https://cdn3.futbin.com/content/fifa26/img/players/p84025036.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=f2e12341b119317406a39e284d641864","CB",""
"Best","George Best","90","https://cdn3.futbin.com/content/fifa26/img/players/p50558412.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=ed434bbadf1139fa6ef79e26717b1988","RW","CAM, LW"
"Scholes","Paul Scholes","88","https://cdn3.futbin.com/content/fifa26/img/players/p50331894.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=e57f1b575edc2303b536ea4964acf5e5","CM","CAM"
"Jones","Steffi Jones","89","https://cdn3.futbin.com/content/fifa26/img/players/p67186540.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=aa3c3f24232d33a1d7d01afb62b0d82f","CB",""
"van Persie","Robin van Persie","88","https://cdn3.futbin.com/content/fifa26/img/players/p50593760.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=079bb44055f303d34491404621217551","ST",""
"Cha Bum Kun","Bum Kun Cha","86","https://cdn3.futbin.com/content/fifa26/img/players/p67300072.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=1bc005b0b4ab50515010b2a82fc74ef9","ST","RW"
"Campbell","Sol Campbell","88","https://cdn3.futbin.com/content/fifa26/img/players/p50574677.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=c87345ca5bdb661359a527fbc178861f","CB",""
"Lineker","Gary Lineker","89","https://cdn3.futbin.com/content/fifa26/img/players/p67323131.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=f7f8c832cb89271972c40132f9ed12ab","ST",""
"Larsson","Henrik Larsson","88","https://cdn3.futbin.com/content/fifa26/img/players/p67348125.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=004f337316fcc8f658cd675dbd855209","ST",""
"Raúl","Raúl González Blanco","90","https://cdn3.futbin.com/content/fifa26/img/players/45661.png?fm=png&ixlib=java-2.1.0&verzion=3&w=108&s=22be976ae8b113aab0bdb9a57fb6b4c2","ST",""
"Cannavaro","Fabio Cannavaro","89","https://cdn3.futbin.com/content/fifa26/img/players/p50332831.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=78534f3a91ab59114abfcb6cba19fdac","CB",""
"Smith","Kelly Smith","89","https://cdn3.futbin.com/content/fifa26/img/players/p50558911.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=82783b1e8251bbbbd4ca8958a7f6d7ee","ST",""
"Sissi","Sisleide Lima do Amor","86","https://cdn3.futbin.com/content/fifa26/img/players/p67186654.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=200375a2e31421a1632b806ac9108954","CAM",""
"Pichon","Marinette Pichon","88","https://cdn3.futbin.com/content/fifa26/img/players/p50403235.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=e209e3582f508252b8d7bcda3c72dcda","ST",""
"Hurst","Geoff Hurst","88","https://cdn3.futbin.com/content/fifa26/img/players/p50413742.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=da08ee5c3b02ece87d89981266132e52","ST",""
"Riquelme","Juan Román Riquelme","89","https://cdn3.futbin.com/content/fifa26/img/players/p50354822.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=1c6eb61d4735f3df3b5b7ca54453b625","CAM",""
"Sócrates","Sócrates Vieira de Oliveira","80","https://cdn3.futbin.com/content/fifa26/img/players/190046.png?fm=png&ixlib=java-2.1.0&verzion=3&w=108&s=8cb9caab48ef50a39d98717015cf0474","CAM",""
"van Nistelrooy","Ruud van Nistelrooy","89","https://cdn3.futbin.com/content/fifa26/img/players/10264.png?fm=png&ixlib=java-2.1.0&verzion=3&w=108&s=7cc7224b3815160f57dc4c5eccf11f11","ST",""
"Zola","Gianfranco Zola","87","https://cdn3.futbin.com/content/fifa26/img/players/p50332849.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=13f536808f6edb6d35da743aca2fd722","CAM","ST"
"Ribéry","Franck Ribéry","88","https://cdn3.futbin.com/content/fifa26/img/players/p50488264.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=7e4f0645d94f1fc70518f14e8730e9fc","LM","LW"
"Nedved","Pavel Nedved","88","https://cdn3.futbin.com/content/fifa26/img/players/p50337883.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=c6fb4b0c8d41a0eb0e847fc038ee283b","LM","CAM, LW"
"Dunga","Carlos Caetano Dunga Bledorn Verri","87","https://cdn3.futbin.com/content/fifa26/img/players/p50523838.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=ecb4465ce891dd556f85a4e446a38dd9","CDM","CM"
"Rijkaard","Frank Rijkaard","87","https://cdn3.futbin.com/content/fifa26/img/players/p50545746.png?fm=png&ixlib=java-2.1.0&verzion=2&w=168&s=983d4f1eb0edf961ed68d14f2ca17ee1","CDM","CB, CM"
"Wright","Ian Wright","87","https://cdn3.futbin.com/content/fifa26/img/players/p50579794.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=da2951e451029575cdb571ce1d3da583","ST",""
"Cha Bum Kun","Cha Bum Kun","85","https://cdn3.futbin.com/content/fifa26/img/players/p50522856.png?fm=png&ixlib=java-2.1.0&verzion=1&w=168&s=1af62a2cf9d05e39ed6cb0f6a9918d2f","ST","RW"
"van der Sar","Edwin van der Sar","88","https://cdn3.futbin.com/content/fifa26/img/players/51539.png?fm=png&ixlib=java-2.1.0&verzion=3&w=108&s=e1a8738a1d3db27b74b06fe378233e1a","GK",""
"Laudrup","Michael Laudrup","88","https://cdn3.futbin.com/content/fifa26/img/players/222000.png?fm=png&ixlib=java-2.1.0&verzion=3&w=108&s=833a08d2647b2fa0302a57f557276907","CAM","LW"
